=======产品序列号=======                                	 =======产品序名称=======                                	 被引用次数                                             
MC0202DE000349                                     	 贴纸-辨色装置80*60mm                                     	 1                                                 
PPC02C10110001                                     	 生物信息卡片10张带包装带贴纸                                    	 1                                                 
MC0202DE000343                                     	 贴纸-《生物分类》器材包贴纸80*60mm                              	 1                                                 
PPE07B14110001                                     	 透明磁扣14个带包装带贴纸                                      	 1                                                 
ME14010009                                         	 光反射与折射器材套件                                         	 1                                                 
MC02040017                                         	 光的反射、折射演示器使用说明书                                    	 1                                                 
MC0202DE000342                                     	 贴纸-《光的反射规律》器材包贴纸120*90mm                           	 1                                                 
PP020014110001                                     	 辨色装置4个带包装带贴纸                                       	 1                                                 
MC0202DE000340                                     	 贴纸-《多一种色彩看世界》器材包贴纸120*90mm                         	 1                                                 
MC02030010                                         	 彩色颜色卡片                                             	 1                                                 
ME06010005                                         	 工业相机                                               	 2                                                 
ME06010006                                         	 工业相机镜头                                             	 2                                                 
MC0202DE000350                                     	 贴纸-工业摄像机80*60mm                                    	 1                                                 
MC0202DE000344                                     	 贴纸-《探究磁铁的特点》器材包贴纸120*90mm                          	 1                                                 
PPE01A01110003                                     	 强力磁铁带包装带贴纸                                         	 1                                                 
PPE05C01110001                                     	 石墨片带包装带贴纸（含金属盒）                                    	 1                                                 
MC0202DE000327                                     	 贴纸-磁悬浮科学套件60*40mm                                  	 1                                                 
ME14010018                                         	 磁悬浮科学套件                                            	 1                                                 
PP020002110010                                     	 食盐水100ml带包装带贴纸                                     	 1                                                 
ME06020009                                         	 大气压力表                                              	 1                                                 
PP030009100001                                     	 橡胶圈2个橡皮筋5根十字夹2个带包装无贴纸                              	 1                                                 
ME09030021                                         	 烧瓶夹                                                	 1                                                 
PP020003110001                                     	 提勒管1个和玻璃试管2个带包装带贴纸                                 	 1                                                 
PPC09C10110007                                     	 毛细管10根带包装带贴纸                                       	 1                                                 
ME09030025                                         	 铁架台                                                	 1                                                 
ME09030026                                         	 玻璃温度计                                              	 1                                                 
ME09030027                                         	 试管架                                                	 1                                                 
ME08030005                                         	 点火器                                                	 4                                                 
ME09030030                                         	 三脚架                                                	 2                                                 
ME09030031                                         	 石棉网                                                	 2                                                 
ME06020010                                         	 电子温度计                                              	 1                                                 
MC0202DE000341                                     	 贴纸-《沸点测试实验》器材包贴纸120*90mm                           	 1                                                 
MC1301BT010018                                     	 透明自封袋11号                                           	 8                                                 
MC0202DE000345                                     	 贴纸-《玩转投石机》器材包贴纸120*90mm                            	 1                                                 
PP030003110012                                     	 投石机套件带包装带贴纸                                        	 1                                                 
PP090031110001                                     	 投石机改装材料包带包装带贴纸                                     	 1                                                 
MC0202DE000328                                     	 贴纸-投石机套件80*60mm                                    	 1                                                 
MC02030006                                         	 组长身份牌                                              	 1                                                 
ME05030057                                         	 深蓝吊牌                                               	 1                                                 
ME05030061                                         	 深蓝吊绳                                               	 1                                                 
MC02030007                                         	 记录员身份牌                                             	 1                                                 
ME05030058                                         	 浅蓝吊牌                                               	 1                                                 
ME05030062                                         	 浅蓝吊绳                                               	 1                                                 
ME05030063                                         	 果绿吊绳                                               	 1                                                 
MC02030008                                         	 发言员身份牌                                             	 1                                                 
ME05030059                                         	 果绿吊牌                                               	 1                                                 
MC02030009                                         	 组员身份牌                                              	 1                                                 
ME05030064                                         	 浅灰色吊绳                                              	 1                                                 
ME05030060                                         	 白色吊牌                                               	 1                                                 
ME03010019                                         	 10K欧电阻                                             	 1                                                 
MC0202DE000346                                     	 贴纸-10K欧电阻40*30mm                                   	 1                                                 
MC0202DE000331                                     	 贴纸-继电器40*30mm                                      	 1                                                 
ME03010009                                         	 继电器                                                	 1                                                 
ME03010012                                         	 按钮                                                 	 1                                                 
MC0202DE000332                                     	 贴纸-按钮40*30mm                                       	 1                                                 
ME03010013                                         	 电磁铁                                                	 1                                                 
MC0202DE000336                                     	 贴纸-电磁铁40*30mm                                      	 1                                                 
ME03010011                                         	 红外对射传感器                                            	 4                                                 
MC0202DE000330                                     	 贴纸-红外对射传感器40*30mm                                  	 1                                                 
ME03010010                                         	 Arduino Uno开发板                                     	 2                                                 
MC0202DE000334                                     	 贴纸-Arduino Uno 开发板60*40mm                          	 1                                                 
ME03010018                                         	 9V电池盒                                              	 1                                                 
MC0202DE000337                                     	 贴纸-9V电池盒80*60mm                                    	 1                                                 
MC0202DE000335                                     	 贴纸-面包板60*40mm                                      	 1                                                 
ME03010015                                         	 8芯母对母杜邦线                                           	 2                                                 
ME03010016                                         	 8芯公对母杜邦线                                           	 2                                                 
ME03010017                                         	 8芯公对公杜邦线                                           	 1                                                 
MC0202DE000333                                     	 贴纸-杜邦线80*60mm                                      	 1                                                 
PPE03A01210002                                     	 继电器带包装带贴纸                                          	 1                                                 
PPE03A01210003                                     	 Arduino Uno 开发板带包装带贴纸                              	 1                                                 
PPE03A02110002                                     	 红外对射传感器2个带包装带贴纸                                    	 1                                                 
PPE03A05110002                                     	 按钮5个带包装带贴纸                                         	 1                                                 
PPE03D01210002                                     	 面包板带包装带贴纸                                          	 1                                                 
PPE03A02110003                                     	 电磁铁2个带包装带贴纸                                        	 1                                                 
ME03010014                                         	 Arduino Uno 开发板USB线                                	 4                                                 
PP030006110001                                     	 杜邦线6板带包装带贴纸                                        	 1                                                 
PPE03A01210004                                     	 9V电池盒带包装带贴纸                                        	 3                                                 
PPE03A20110001                                     	 10K欧电阻20个带包装带贴纸                                    	 1                                                 
MC05030065                                         	 瓶盖                                                 	 2                                                 
MC0202DE000339                                     	 贴纸-自动贩卖机材料包80*60mm                                 	 1                                                 
ME07020022                                         	 大号美工刀                                              	 7                                                 
MC07020018                                         	 泡绵双面胶                                              	 5                                                 
ME07010037                                         	 压痕滚刀                                               	 1                                                 
ME07010038                                         	 锯刀                                                 	 1                                                 
ME07020024                                         	 中号剪刀                                               	 15                                                
MC0202DE000347                                     	 贴纸-自动贩卖机工具包80*60mm                                 	 1                                                 
ME05020014                                         	 判断符号磁贴（黄色，菱形）                                      	 1                                                 
ME05020015                                         	 处理符号磁贴（绿色，长方形）                                     	 1                                                 
ME05020020                                         	 角色磁贴-机器                                            	 1                                                 
ME05020025                                         	 角色磁贴-顾客                                            	 1                                                 
ME05020026                                         	 角色磁贴-补货员                                           	 1                                                 
ME05020027                                         	 角色磁贴-维修员                                           	 1                                                 
ME05020028                                         	 角色磁贴-粉色空白                                          	 1                                                 
ME05020029                                         	 角色磁贴-绿色空白                                          	 1                                                 
ME05020030                                         	 角色磁贴-紫色空白                                          	 1                                                 
ME05020031                                         	 角色磁贴-灰色空白                                          	 1                                                 
ME05020032                                         	 角色磁贴-蓝色空白                                          	 1                                                 
PPE05B10200001                                     	 判断符号磁贴10个带包装无贴纸                                    	 1                                                 
ME05020016                                         	 YES磁贴                                              	 1                                                 
ME05020017                                         	 NO磁贴                                               	 1                                                 
PPE05B10200002                                     	 处理符号磁贴10个带包装无贴纸                                    	 1                                                 
ME05020018                                         	 开始符号磁贴                                             	 1                                                 
ME05020019                                         	 结束符号磁贴                                             	 1                                                 
MC0202DE000338                                     	 贴纸-流程图和泳道图道具组合80*60mm                              	 1                                                 
PP090009100001                                     	 角色磁贴9个带包装无贴纸                                       	 1                                                 
PP030030100001                                     	 判断符号磁贴包带包装无贴纸                                      	 3                                                 
PP030022100001                                     	 处理符号磁贴20个和起止符号磁贴带包装无贴纸                             	 3                                                 
ME05020021                                         	 泳道磁贴-粉色                                            	 1                                                 
ME05020023                                         	 泳道磁贴-灰色                                            	 1                                                 
ME05020024                                         	 泳道磁贴-蓝色                                            	 1                                                 
ME05020022                                         	 泳道磁贴-紫色                                            	 1                                                 
ME05020036                                         	 泳道磁贴-绿色                                            	 1                                                 
MC07020014                                         	 黑色白板笔                                              	 7                                                 
MC07020015                                         	 红色白板笔                                              	 4                                                 
MC07020016                                         	 蓝色白板笔                                              	 2                                                 
ME07020020                                         	 白板擦                                                	 5                                                 
MC07020017                                         	 便利贴                                                	 8                                                 
PP030003000001                                     	 组长吊牌无包装无贴纸                                         	 2                                                 
PP030003000002                                     	 发言员吊牌无包装无贴纸                                        	 2                                                 
PP030003000003                                     	 记录员吊牌无包装无贴纸                                        	 2                                                 
PP030003000004                                     	 组员吊牌无包装无贴纸                                         	 2                                                 
ME05010051                                         	 托盘                                                 	 2                                                 
ME07020026                                         	 4色圆珠笔                                              	 2                                                 
ME01020014                                         	 桌号夹                                                	 2                                                 
PP070007110001                                     	 流程图和泳道图道具组合带包装带贴纸                                  	 2                                                 
PP070036110001                                     	 自动贩卖机材料包带包装带贴纸                                     	 3                                                 
PP120013100001                                     	 自动贩卖机Arduino配件带包装无贴纸                               	 2                                                 
PP130023110001                                     	 自动贩卖机工具包带包装带贴纸                                     	 3                                                 
ME07020021                                         	 30cm钢尺                                             	 5                                                 
MC1304BG010008                                     	 塑料整理箱20L                                           	 5                                                 
MC0202DP0090                                       	 贴纸-做事的科学-计算思维Qube贴纸                                	 2                                                 
ME02040009                                         	 做事的科学-计算思维 材料清单                                    	 1                                                 
ME07020025                                         	 A4文件袋                                              	 9                                                 
MC02010012                                         	 瓦楞纸板                                               	 3                                                 
MC0202DP0091                                       	 贴纸-多一种维度看世界-探索科学本质Qube贴纸                           	 2                                                 
PP170019110001                                     	 《沸点测试实验》器材包带包装带贴纸                                  	 2                                                 
PP020002110013                                     	 《 生物分类》器材包带包装带贴纸                                   	 2                                                 
ME02040008                                         	 多一种维度看世界-探索科学本质 材料清单                               	 2                                                 
PP120047010001                                     	 《玩转投石机》工具箱无包装带贴纸                                   	 1                                                 
PP020002110014                                     	 《光的反射规律》器材包带包装带贴纸                                  	 2                                                 
PP060006110002                                     	 《探究磁铁的特点》器材包带包装带贴纸                                 	 2                                                 
PP040004000002                                     	 《多一种色彩看世界》工具箱（含显示屏）无包装无贴纸                          	 1                                                 
PP020002110015                                     	 《多一种色彩看世界》器材包带包装带贴纸                                	 1                                                 
ME01010008                                         	 透明磁扣                                               	 1                                                 
MC0202DE000352                                     	 贴纸-透明磁扣60*40mm                                     	 1                                                 
MC14010017                                         	 生物信息卡片套件                                           	 1                                                 
MC0202DE000351                                     	 贴纸-生物信息卡片60*40mm                                   	 1                                                 
MC08020014                                         	 遮光窗帘布                                              	 1                                                 
MC17010001                                         	 布料加工服务                                             	 1                                                 
MC05030066                                         	 魔术贴                                                	 1                                                 
MC05030067                                         	 松紧带                                                	 1                                                 
MC0202DE000329                                     	 贴纸-投石机改装材料包60*40mm                                 	 1                                                 
PPC1003C041000                                     	 多一种维度看世界-探索科学本质 学习手册                               	 1                                                 
PPC1004C041000                                     	 做事的科学-计算思维 学习手册                                    	 1                                                 
ME02040010                                         	 做事的科学-计算思维体验课 材料清单                                 	 1                                                 
ME01010010                                         	 强力磁铁（磁悬浮套件）                                        	 1                                                 
MC0202DE000354                                     	 贴纸-强力磁铁40*30mm                                     	 1                                                 
MC0202DE000353                                     	 贴纸-石墨片60*40mm                                      	 1                                                 
ME05030066                                         	 石墨片（磁悬浮套件）                                         	 1                                                 
PP110043000001                                     	 铝合金框架（含LED灯板和摄像头底座）无包装无贴纸                          	 1                                                 
PP040006000001                                     	 遮光布套无包装无贴纸                                         	 1                                                 
ME05030065                                         	 显示器支架                                              	 1                                                 
ME06010007                                         	 显示器                                                	 1                                                 
PP020002110012                                     	 工业相机带包装带贴纸                                         	 1                                                 
PP060006110001 此序列号的产品，在产品清单中找不到
MC0203Y3025103                                     	 葡萄酒酿造1.1版-Qube卡片                                   	 1                                                 
MC0202DP000016                                     	 贴纸-葡萄酒发酵科学-QUBE贴纸                                  	 1                                                 
MC0203C2001103                                     	 葡萄酒发酵科学1.1版-Qube卡片                                 	 1                                                 
ME06020002                                         	 酒精度折射仪                                             	 1                                                 
PTY3025C031100                                     	 葡萄酒酿造1.1版学生工具箱QUBE                                 	 1                                                 
MC1303DS010001                                     	 手提盒3mm378*286*477                                  	 1                                                 
MC0202DP000085                                     	 贴纸-葡萄酒酿造1.1版-手提盒贴纸                                 	 1                                                 
MC08030016                                         	 塑料餐盒                                               	 1                                                 
MC0202DE000075                                     	 贴纸-塑料盒子                                            	 1                                                 
ME03010021                                         	 小灯珠                                                	 1                                                 
PPE03A03100001                                     	 小灯珠有包装无贴纸                                          	 1                                                 
PP030007100001 此序列号的产品，在产品清单中找不到
PTC2006CO31000 此序列号的产品，在产品清单中找不到
ME07010040                                         	 防静电镊子                                              	 5                                                 
MC0202DE000358                                     	 贴纸-STEM课程体验包80*60mm                                	 1                                                 
ME03040015                                         	 5号电池座                                              	 1                                                 
MC05030073                                         	 4*300圆木棒                                           	 1                                                 
PP020004100001                                     	 超细弹性绒布2块桌布2张有包装无贴纸                                 	 1                                                 
PP030015100001                                     	 4*300圆木棒8根吸管4根气球3个有包装无贴纸                           	 1                                                 
MC1301BT010012                                     	 透明自封袋12号                                           	 1                                                 
MC02010017                                         	 A4彩纸（厚）                                            	 3                                                 
MC0202DE000360                                     	 贴纸-STEM课程改造材料包80*60mm                              	 1                                                 
ME07010039                                         	 手工钻                                                	 4                                                 
ME07020008                                         	 15cm钢尺                                             	 1                                                 
MC0202DE000359                                     	 贴纸-STEM课程改造工具包80*60mm                              	 1                                                 
PP090013110001                                     	 STEM课程改造工具包带包装带贴纸                                  	 1                                                 
PP120046110001                                     	 STEM课程改造材料包带包装带贴纸                                  	 1                                                 
ME02040011                                         	 如何设计一门STEM课 材料清单                                   	 1                                                 
PP070014110001 此序列号的产品，在产品清单中找不到
MC0202DG000007                                     	 贴纸-云中心LOGO贴纸106*36mm                               	 5                                                 
MC0202DP000093                                     	 贴纸-如何设计一门STEM课Qube贴纸160*40mm                       	 1                                                 
MC0202DP000092                                     	 贴纸-如何设计一门STEM课Qube贴纸120*90mm                       	 1                                                 
ME13040001                                         	 亿高收纳箱20L                                           	 6                                                 
PPC1006C041000                                     	 如何设计一门STEM课 学习手册                                   	 1                                                 
MC05010068                                         	 超轻粘土补充装                                            	 4                                                 
MC1301BT010014                                     	 透明自封袋9号                                            	 1                                                 
MC0202DE000362                                     	 贴纸-快速设计材料包80*60mm                                  	 1                                                 
MC0202DE000361                                     	 贴纸-设计活动工具包80*60mm                                  	 1                                                 
ME07010044                                         	 办公用品组合                                             	 1                                                 
MC07010034                                         	 固体胶棒                                               	 1                                                 
ME07010043                                         	 打孔器                                                	 1                                                 
ME07020006                                         	 塑料直尺                                               	 9                                                 
MC05030074                                         	 方形魔术贴                                              	 1                                                 
MC07010033                                         	 彩色透明胶带                                             	 1                                                 
MC02030012                                         	 设计思维方法卡片                                           	 1                                                 
ME05020034                                         	 核心需求磁贴                                             	 1                                                 
ME05020035                                         	 需求雷达磁贴                                             	 1                                                 
MC0202DE000365                                     	 贴纸-设计思维道具组合80*60mm                                 	 1                                                 
MC0202DE000363                                     	 贴纸-设计思维初体验材料包80*60mm                               	 1                                                 
MC08010003                                         	 洗衣皂                                                	 1                                                 
MC0202DE000364                                     	 贴纸-创新设计材料包80*60mm                                  	 1                                                 
PPC08A01100001                                     	 洗衣皂带包装无贴纸                                          	 1                                                 
ME08020017                                         	 儿童衣架                                               	 1                                                 
ME08020018                                         	 彩虹雨伞                                               	 1                                                 
ME08010001                                         	 牙刷                                                 	 2                                                 
ME08030009                                         	 天然竹砧板                                              	 1                                                 
MC05030075                                         	 2mm雪弗板                                             	 2                                                 
MC1301BT010019                                     	 透明自封袋12号                                           	 2                                                 
PP020051110001                                     	 快速设计材料包                                            	 2                                                 
PP040013110001                                     	 设计思维初体验材料包                                         	 2                                                 
PP040014110001                                     	 设计思维道具组合                                           	 1                                                 
PP100022110001                                     	 创新设计材料包                                            	 2                                                 
PP130018110001                                     	 设计活动工具包                                            	 2                                                 
MC0202DP000091                                     	 贴纸-创新的艺术-设计思维-Qube贴纸120*90mm                       	 1                                                 
MC0202DP000094                                     	 贴纸-创新的艺术-设计思维-Qube贴纸160*40mm                       	 1                                                 
ME02040012                                         	 创新的艺术-设计思维 材料清单                                    	 1                                                 
 MC10020001 此序列号的产品，在产品清单中找不到
MC1301BO010007                                     	 彩色西点饼干袋                                            	 1                                                 
MC0202DE000376                                     	 贴纸-彩色包装袋80*60mm                                    	 1                                                 
MC0202DE000377                                     	 贴纸-电子温度计40*30mm                                    	 1                                                 
ME09030029                                         	 酒精灯                                                	 6                                                 
MC0202DE000378                                     	 贴纸-加热装置60*80mm                                     	 1                                                 
MC0202DE000379                                     	 贴纸-橄榄油40*30mm                                      	 1                                                 
MC11020004                                         	 橄榄油                                                	 1                                                 
MC0202DE000380                                     	 贴纸-椰子油40*30mm                                      	 1                                                 
MC11020005                                         	 椰子油                                                	 1                                                 
MC0202DE000381                                     	 贴纸-棕榈油40*30mm                                      	 1                                                 
MC11020006                                         	 棕榈油                                                	 1                                                 
ME05020005                                         	 硅胶手工皂模具                                            	 1                                                 
ME05020033                                         	 硅胶手工皂花型模具                                          	 1                                                 
MC0202DE000372                                     	 贴纸-手工皂模具80*60mm                                    	 1                                                 
MC03040019                                         	 导电铜线                                               	 2                                                 
MC0202DE000382                                     	 贴纸-导电铜线80*60mm                                     	 1                                                 
MC05030076                                         	 木棒                                                 	 1                                                 
MC0202DE000383                                     	 贴纸-木棒60*40mm                                       	 1                                                 
MC0202DE000384                                     	 贴纸-7号电池60*40mm                                     	 1                                                 
ME01010011                                         	 圆形强力磁铁                                             	 1                                                 
MC0202DE000385                                     	 贴纸-圆形强力磁铁40*30mm                                   	 1                                                 
MC0202DE000386                                     	 贴纸-尖嘴钳60*40mm                                      	 1                                                 
ME01010012                                         	 小磁针                                                	 1                                                 
MC0202DE000387                                     	 贴纸-小磁针40*30mm                                      	 1                                                 
MC0202DE000388                                     	 贴纸-双U导线80*60mm                                     	 1                                                 
MC0202DE000389                                     	 贴纸-1号电池80*60mm                                     	 1                                                 
MC0202DE000390                                     	 贴纸-1号电池盒80*60mm                                    	 1                                                 
MC0202DE000391                                     	 贴纸-单刀开关80*60mm                                     	 1                                                 
ME03010022                                         	 滑动变阻器                                              	 1                                                 
MC0202DE000392                                     	 贴纸-滑动变阻器80*60mm                                    	 1                                                 
MC0202DE000393                                     	 贴纸-5号电池60*40mm                                     	 1                                                 
MC02010018                                         	 士兵卡槽                                               	 1                                                 
